,Tourn_Title,Location,Dates,Rounds_Single,Rounds_Doubles,Court,Surface,StartDate,EndDate,Latitude,Longitude
54,Kuala Lumpur,"Kuala Lumpur, Malaysia",2016.09.26 - 2016.10.02,28,16,Indoor,Hard,2016-09-26,2016-10-02,3.139003,101.686855
55,Shenzhen,"Shenzhen, China",2016.09.26 - 2016.10.02,28,16,Outdoor,Hard,2016-09-26,2016-10-02,22.543096,114.057865
56,Tokyo,"Tokyo, Japan",2016.10.03 - 2016.10.09,32,16,Outdoor,Hard,2016-10-03,2016-10-09,35.7090259,139.7319925
57,Beijing,"Beijing, China",2016.10.03 - 2016.10.09,32,16,Outdoor,Hard,2016-10-03,2016-10-09,39.904211,116.407395
58,ATP World Tour Masters 1000 Shanghai,"Shanghai, China",2016.10.10 - 2016.10.16,56,24,Outdoor,Hard,2016-10-10,2016-10-16,31.230416,121.473701
59,Stockholm,"Stockholm, Sweden",2016.10.17 - 2016.10.23,28,16,Indoor,Hard,2016-10-17,2016-10-23,59.32932349999999,18.0685808
60,Moscow,"Moscow, Russia",2016.10.17 - 2016.10.23,28,16,Indoor,Hard,2016-10-17,2016-10-23,55.755826,37.6173
61,Valencia,"Valencia, Spain",2016.10.17 - 2016.10.23,28,16,Indoor,Hard,2016-10-17,2016-10-23,39.4699075,-0.3762881
62,Basel,"Basel, Switzerland",2016.10.24 - 2016.10.30,32,16,Indoor,Hard,2016-10-24,2016-10-30,47.5595986,7.5885761
63,Vienna,"Vienna, Austria",2016.10.24 - 2016.10.30,32,16,Indoor,Hard,2016-10-24,2016-10-30,48.2081743,16.3738189
64,ATP World Tour Masters 1000 Paris,"Paris, France",2016.10.31 - 2016.11.06,48,24,Indoor,Hard,2016-10-31,2016-11-06,48.856614,2.3522219
65,ATP World Tour Finals,"London, Great Britain",2016.11.14 - 2016.11.20,8,8,Indoor,Hard,2016-11-14,2016-11-20,51.5073509,-0.1277583
